mc	mn	onset	label
1	1	0	.g.i
3	3	3/4	#viio6
4	4	0	i6
4	4	3/4	ii%65
5	5	0	V(64)
5	5	1/4	i(6#4)
5	5	1/2	i
5	5	3/4	V7
6	6	0	i
6	6	1/4	i(6#4)
6	6	1/2	i\\
6	6	3/4	V7
7	7	0	i
7	7	3/4	V65/III
8	8	0	III
8	8	3/4	VIM65
9	9	0	iio
9	9	1/2	ii%7
9	9	3/4	V65
10	10	0	i
10	10	3/4	iio6
11	11	0	V[V(74)
11	11	1/8	V(64)
11	11	1/4	V(65)
11	11	3/8	V(64)
11	11	1/2	viio7/V
11	11	3/4	#viio43(4)
11	11	7/8	#viio43
12	12	0	i(4)
12	12	1/8	i\\
13	13	0	III.V2
14	14	0	I6
15	15	0	V43
16	16	0	I\\
17	17	0	V2
18	18	0	i.V
19	19	0	V(64)
20	20	0	V
20	20	1/2	V7
21	21	0	i6
21	21	1/2	i
22	22	0	V(4)
22	22	1/4	V\\
22	22	5/8	V43
23	23	0	i
23	23	3/4	#viio6
24	24	0	i6
24	24	3/4	ii%65
25	25	0	V(64)
25	25	1/4	i(6#4)
25	25	1/2	i
25	25	3/4	V7
26	26	0	i
26	26	1/4	i(6#4)
26	26	1/2	i\\
26	26	3/4	V7
27	27	0	i
27	27	3/4	V65/III
28	28	0	III
28	28	3/4	VIM65
29	29	0	iio
29	29	1/2	ii%7
29	29	3/4	V65
30	30	0	i
30	30	3/4	iio6
31	31	0	V[V(74)
31	31	1/8	V(64)
31	31	1/4	V(65)
31	31	3/8	V(64)
31	31	1/2	viio7/V
31	31	3/4	#viio43(4)
31	31	7/8	#viio43
32	32	0	I.I[I\\
33	33	0	V7(9)
33	33	1/4	V
33	33	1/2	V7
33	33	3/4	V7(9)
34	34	0	I
34	34	1/4	I(6)
34	34	1/2	I(7)
34	34	3/4	I(64)
35	35	0	iii6
35	35	1/4	V
35	35	1/2	V7
35	35	3/4	V+(#7)
36	36	0	I\\
36	36	1/4	I
36	36	1/2	I(6)
36	36	3/4	I
37	37	0	V7(9)
37	37	1/2	iio64
37	37	5/8	V43]
37	37	3/4	vii%2
38	38	0	V(64)
38	38	1/4	#viio7/iii
38	38	1/2	iii
38	38	3/4	IV+64
39	39	0	iii2
39	39	1/4	viio2
39	39	1/2	V7
39	39	3/4	vii%7
40	40	0	I\\
40	40	1/4	vi
40	40	1/2	vi6
41	41	0	iii
41	41	1/8	iii6
41	41	1/4	IV
41	41	1/2	IV6
42	42	0	I\\
42	42	1/4	I6
42	42	1/2	i6
42	42	5/8	viio2/V
43	43	0	viio65
43	43	1/4	#viio7/ii
43	43	3/8	#viio43/ii
