mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	9.0	0	0	4/4	2	1	E.I{		E	I		I	I						{	M	0	0	0, 4, 1		0	0
3	3	9	9	4.0	1/4	1/4	4/4	2	1	ii2(11)	I(1394)	E	I		ii2(11)	ii		2	11				mm7	0	0	0, 2, -1, 3	1	2	0
4	4	13	13	11.0	1/4	1/4	4/4	2	1	I}		E	I		I	I						}	M	0	0	0, 4, 1		0	0
4	4	15	15	0.0	3/4	3/4	4/4	2	1	{		E	I									{		0	0				
7	7	24	24	5.0	0	0	4/4	2	1	iii.V(64)		E	iii		V(64)	V			64				M	0	1	1, 0, -3		1	1
8	8	29	29	1.0	1/4	1/4	4/4	2	1	V7		E	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
8	8	30	30	0.5	1/2	1/2	4/4	2	1	i(4)}		E	iii		i(4)	i			4			}	m	0	1	0, -1, 1		0	0
8	8	61/2	61/2	0.5	5/8	5/8	4/4	2	1	i		E	iii		i	i							m	0	1	0, -3, 1		0	0
8	8	31	31	0.5	3/4	3/4	4/4	2	1	i(9)		E	iii		i(9)	i			9				m	0	1	0, -3, 1	2	0	0
8	8	63/2	63/2	0.5	7/8	7/8	4/4	2	1	i|PAC		E	iii		i	i					PAC		m	0	1	0, -3, 1		0	0
9	9	32	32	3.0	0	0	4/4	2	1	I.ii{		E	I		ii	ii						{	m	0	0	2, -1, 3		2	2
9	9	35	35	1.0	3/4	3/4	4/4	2	1	ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
10	10	36	36	1.0	0	0	4/4	2	1	V7(4)		E	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
10	10	37	37	3.0	1/4	1/4	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	40	40	4.5	0	0	4/4	2	1	ii		E	I		ii	ii							m	0	0	2, -1, 3		2	2
12	12	89/2	89/2	1.0	1/8	1/8	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	91/2	91/2	1.0	3/8	3/8	4/4	2	1	IV6(+4)		E	I		IV6(+4)	IV		6	+4				M	0	0	3, 0, -1	5	-1	3
12	12	93/2	93/2	1.0	5/8	5/8	4/4	2	1	#viio2/ii	V65(6#4#2)	E	I		#viio2/ii	#vii	o	2		ii			o7	0	0	-2, 7, 4, 1		7	-2
12	12	95/2	95/2	0.5	7/8	7/8	4/4	2	1	V65|HC}		E	I		V65	V		65			HC	}	Mm7	0	0	5, 2, -1, 1		1	5
13	13	48	48	3.0	0	0	4/4	2	1	ii{		E	I		ii	ii						{	m	0	0	2, -1, 3		2	2
13	13	51	51	1.0	3/4	3/4	4/4	2	1	ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
14	14	52	52	1.0	0	0	4/4	2	1	V7(4)		E	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
14	14	53	53	3.0	1/4	1/4	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	56	56	4.5	0	0	4/4	2	1	ii		E	I		ii	ii							m	0	0	2, -1, 3		2	2
16	16	121/2	121/2	2.0	1/8	1/8	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	125/2	125/2	2.0	5/8	5/8	4/4	2	1	IV6		E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
17	17	129/2	129/2	1.0	1/8	1/8	4/4	2	1	V65		E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
17	17	131/2	131/2	1.0	3/8	3/8	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
17	17	133/2	133/2	1.0	5/8	5/8	4/4	2	1	#viio7/ii	V43(6#4#2)	E	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
17	17	135/2	135/2	0.5	7/8	7/8	4/4	2	1	V43|HC}		E	I		V43	V		43			HC	}	Mm7	0	0	2, -1, 1, 5		1	2
18	18	68	68	4.0	0	0	4/4	2	1	I[I{		E	I	I	I	I						{	M	0	0	0, 4, 1		0	0
19	19	72	72	1.0	0	0	4/4	2	1	vi	I(6)	E	I	I	vi	vi							m	0	0	3, 0, 4		3	3
19	19	73	73	2.5	1/4	1/4	4/4	2	1	I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
19	19	151/2	151/2	0.5	7/8	7/8	4/4	2	1	vi65	I(6)	E	I	I	vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0
20	20	76	76	1.0	0	0	4/4	2	1	iii64	V6(6)	E	I	I	iii64	iii		64					m	0	0	5, 4, 1		4	5
20	20	77	77	2.5	1/4	1/4	4/4	2	1	ii2		E	I	I	ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
20	20	159/2	159/2	0.5	7/8	7/8	4/4	2	1	V		E	I	I	V	V							M	0	0	1, 5, 2		1	1
21	21	80	80	0.5	0	0	4/4	2	1	I(9)}		E	I	I	I(9)	I			9			}	M	0	0	0, 4, 1	2	0	0
21	21	161/2	161/2	2.5	1/8	1/8	4/4	2	1	I|PAC		E	I	I	I	I					PAC		M	0	0	0, 4, 1		0	0
21	21	83	83	0.5	3/4	3/4	4/4	2	1	I(#4){		E	I	I	I(#4)	I			#4			{	M	0	0	0, 4, 6		0	0
21	21	167/2	167/2	0.5	7/8	7/8	4/4	2	1	I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
22	22	84	84	0.5	0	0	4/4	2	1	vi2	I(6)	E	I	I	vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
22	22	169/2	169/2	3.5	1/8	1/8	4/4	2	1	I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
23	23	88	88	1.0	0	0	4/4	2	1	vi	I(6)	E	I	I	vi	vi							m	0	0	3, 0, 4		3	3
23	23	89	89	2.5	1/4	1/4	4/4	2	1	I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
23	23	183/2	183/2	0.5	7/8	7/8	4/4	2	1	vi65	I(6)	E	I	I	vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0
24	24	92	92	1.0	0	0	4/4	2	1	iii6	V64(6)	E	I	I	iii6	iii		6					m	0	0	1, 5, 4		4	1
24	24	93	93	2.5	1/4	1/4	4/4	2	1	ii		E	I	I	ii	ii							m	0	0	2, -1, 3		2	2
24	24	191/2	191/2	0.5	7/8	7/8	4/4	2	1	V		E	I	I	V	V							M	0	0	1, 5, 2		1	1
25	25	96	96	0.5	0	0	4/4	2	1	I(9)}		E	I	I	I(9)	I			9			}	M	0	0	0, 4, 1	2	0	0
25	25	193/2	193/2	2.5	1/8	1/8	4/4	2	1	I|PAC		E	I	I	I	I					PAC		M	0	0	0, 4, 1		0	0
25	25	99	99	0.5	3/4	3/4	4/4	2	1	I(#4){		E	I	I	I(#4)	I			#4			{	M	0	0	0, 4, 6		0	0
